system:index,landcover,.geo
82,1,"{""type"":""Point"",""coordinates"":[107.05318994410581,-5.928874285841908]}"
83,1,"{""type"":""Point"",""coordinates"":[107.0527178753192,-5.92951457224943]}"
84,1,"{""type"":""Point"",""coordinates"":[107.05233163722106,-5.930069486534825]}"
85,1,"{""type"":""Point"",""coordinates"":[107.0510441768939,-5.9319476538198215]}"
86,1,"{""type"":""Point"",""coordinates"":[107.05404825099059,-5.9285327994540555]}"
87,1,"{""type"":""Point"",""coordinates"":[107.05361909754821,-5.928874285841908]}"
88,1,"{""type"":""Point"",""coordinates"":[107.05670900233335,-5.92934382928009]}"
89,1,"{""type"":""Point"",""coordinates"":[107.05705232508726,-5.929813372318618]}"
90,1,"{""type"":""Point"",""coordinates"":[107.05670900233335,-5.930240229279566]}"
91,1,"{""type"":""Point"",""coordinates"":[107.05700940974302,-5.930581714610481]}"
92,1,"{""type"":""Point"",""coordinates"":[107.05765313990659,-5.9313073702366825]}"
93,1,"{""type"":""Point"",""coordinates"":[107.06039972193786,-5.930453657636164]}"
94,1,"{""type"":""Point"",""coordinates"":[107.06185884364196,-5.930795142834946]}"
95,1,"{""type"":""Point"",""coordinates"":[107.06211633570737,-5.931606169334653]}"
96,1,"{""type"":""Point"",""coordinates"":[107.06031389124936,-5.931819597162657]}"
97,1,"{""type"":""Point"",""coordinates"":[107.06027097590513,-5.932161081515653]}"
98,1,"{""type"":""Point"",""coordinates"":[107.06142969019956,-5.932118395983095]}"
99,1,"{""type"":""Point"",""coordinates"":[107.06215925105161,-5.932502565657168]}"
100,1,"{""type"":""Point"",""coordinates"":[107.06160135157651,-5.93275867862451]}"
101,1,"{""type"":""Point"",""coordinates"":[107.06108636744565,-5.9336977584868995]}"
102,1,"{""type"":""Point"",""coordinates"":[107.05894060023374,-5.9345514660645335]}"
103,1,"{""type"":""Point"",""coordinates"":[107.05808229334899,-5.935490542872713]}"
104,1,"{""type"":""Point"",""coordinates"":[107.039714526015,-5.932459880151033]}"
105,1,"{""type"":""Point"",""coordinates"":[107.0400578487689,-5.933228218755653]}"
106,1,"{""type"":""Point"",""coordinates"":[107.04022951014586,-5.933868500108194]}"
107,1,"{""type"":""Point"",""coordinates"":[107.03503675349303,-5.934252668562753]}"
108,1,"{""type"":""Point"",""coordinates"":[107.03035898097106,-5.931093942210441]}"
109,1,"{""type"":""Point"",""coordinates"":[107.01791353114196,-5.935960080676745]}"
110,1,"{""type"":""Point"",""coordinates"":[107.01748437769957,-5.937112580863116]}"
111,1,"{""type"":""Point"",""coordinates"":[107.01726980097838,-5.937496747056186]}"
112,1,"{""type"":""Point"",""coordinates"":[107.07057065852233,-5.9331855333057]}"
113,1,"{""type"":""Point"",""coordinates"":[107.06859655268737,-5.932289138093506]}"
114,1,"{""type"":""Point"",""coordinates"":[107.07125730403014,-5.933569702236223]}"
115,1,"{""type"":""Point"",""coordinates"":[107.07293100245542,-5.9340819270604515]}"
116,1,"{""type"":""Point"",""coordinates"":[107.07293100245542,-5.934338039294077]}"
117,1,"{""type"":""Point"",""coordinates"":[107.08537645228452,-5.936429618080704]}"
118,1,"{""type"":""Point"",""coordinates"":[107.08464689143247,-5.9365576736668855]}"
119,1,"{""type"":""Point"",""coordinates"":[107.08327360041685,-5.936472303279407]}"
120,1,"{""type"":""Point"",""coordinates"":[107.04246110804625,-5.93835044874833]}"
121,1,"{""type"":""Point"",""coordinates"":[107.04190320857114,-5.938649244027995]}"
122,1,"{""type"":""Point"",""coordinates"":[107.03680139246518,-5.949983526529195]}"
123,1,"{""type"":""Point"",""coordinates"":[107.03684430780942,-5.950922577009189]}"
124,1,"{""type"":""Point"",""coordinates"":[107.01335460858405,-5.953582456656423]}"
125,1,"{""type"":""Point"",""coordinates"":[107.01627285199224,-5.959558165901415]}"
126,1,"{""type"":""Point"",""coordinates"":[107.02438363961159,-5.963768418574621]}"
127,1,"{""type"":""Point"",""coordinates"":[107.0249844544309,-5.966073299923982]}"
128,1,"{""type"":""Point"",""coordinates"":[107.02528486184057,-5.966713543023775]}"
129,1,"{""type"":""Point"",""coordinates"":[107.02489862374244,-5.96889036396947]}"
130,1,"{""type"":""Point"",""coordinates"":[107.01622972420631,-5.9605671784103915]}"
131,1,"{""type"":""Point"",""coordinates"":[107.01674470833716,-5.963853784723273]}"
132,1,"{""type"":""Point"",""coordinates"":[107.01811799935278,-5.970469620812081]}"
133,1,"{""type"":""Point"",""coordinates"":[107.01777467659889,-5.9695306037785985]}"
134,1,"{""type"":""Point"",""coordinates"":[107.0188046448606,-5.971963508230017]}"
135,1,"{""type"":""Point"",""coordinates"":[107.0200491898435,-5.9718354608966875]}"
136,1,"{""type"":""Point"",""coordinates"":[107.01966295174536,-5.97281715635377]}"
137,1,"{""type"":""Point"",""coordinates"":[107.0184613221067,-5.973286662254666]}"
138,1,"{""type"":""Point"",""coordinates"":[107.01910505227028,-5.973884214637215]}"
139,1,"{""type"":""Point"",""coordinates"":[107.01837549141823,-5.9747805419882525]}"
140,1,"{""type"":""Point"",""coordinates"":[107.01725969246802,-5.97542077491195]}"
141,1,"{""type"":""Point"",""coordinates"":[107.01781759194313,-5.97559150356513]}"
142,1,"{""type"":""Point"",""coordinates"":[107.01558599404274,-5.9761463713202305]}"
143,1,"{""type"":""Point"",""coordinates"":[107.0164443009275,-5.9791341111001675]}"
144,1,"{""type"":""Point"",""coordinates"":[107.01631555489479,-5.979731657098298]}"
145,1,"{""type"":""Point"",""coordinates"":[107.02052125863014,-5.9763170997470825]}"
146,1,"{""type"":""Point"",""coordinates"":[107.02125081948218,-5.97542077491195]}"
147,1,"{""type"":""Point"",""coordinates"":[107.01459894112526,-5.983487645565447]}"
148,1,"{""type"":""Point"",""coordinates"":[107.01408395699438,-5.9829327852570175]}"
149,1,"{""type"":""Point"",""coordinates"":[107.01283941201147,-5.984938816016996]}"
150,1,"{""type"":""Point"",""coordinates"":[107.01275358132301,-5.985664399797837]}"
151,1,"{""type"":""Point"",""coordinates"":[107.01249608925758,-5.986389982615239]}"
152,1,"{""type"":""Point"",""coordinates"":[107.01163778237282,-5.990316649377475]}"
153,1,"{""type"":""Point"",""coordinates"":[107.01090822152075,-5.989633752838064]}"
154,1,"{""type"":""Point"",""coordinates"":[107.01185235909401,-5.98993252017914]}"
155,1,"{""type"":""Point"",""coordinates"":[107.0194912903684,-5.985280267327983]}"
156,1,"{""type"":""Point"",""coordinates"":[107.01940545967993,-5.985920487961051]}"
157,1,"{""type"":""Point"",""coordinates"":[107.01816091469702,-5.985792443894455]}"
158,1,"{""type"":""Point"",""coordinates"":[107.01764593056616,-5.986219257333114]}"
159,1,"{""type"":""Point"",""coordinates"":[107.01970586708961,-5.987969188945705]}"
160,1,"{""type"":""Point"",""coordinates"":[107.01884756020483,-5.987969188945704]}"
161,1,"{""type"":""Point"",""coordinates"":[107.01026449135719,-5.992621418891893]}"
162,1,"{""type"":""Point"",""coordinates"":[107.01069364479956,-5.993560396274456]}"
163,1,"{""type"":""Point"",""coordinates"":[107.0103932373899,-5.994712775399475]}"
164,1,"{""type"":""Point"",""coordinates"":[107.00966367653785,-5.995352984972838]}"
165,1,"{""type"":""Point"",""coordinates"":[107.00970659188208,-5.997316289646137]}"
166,1,"{""type"":""Point"",""coordinates"":[107.00811872414526,-5.999663709869487]}"
167,1,"{""type"":""Point"",""coordinates"":[107.00803289345679,-6.000431954292922]}"
168,1,"{""type"":""Point"",""coordinates"":[107.01452536670578,-6.000529516035012]}"
169,1,"{""type"":""Point"",""coordinates"":[107.0142249592961,-6.000998998121184]}"
170,1,"{""type"":""Point"",""coordinates"":[106.99744505969893,-6.005138959007864]}"
171,1,"{""type"":""Point"",""coordinates"":[106.99688716022385,-6.006120594603639]}"
172,1,"{""type"":""Point"",""coordinates"":[106.99705882160079,-6.006632751603363]}"
173,1,"{""type"":""Point"",""coordinates"":[106.99654383746994,-6.0082545789243476]}"
174,1,"{""type"":""Point"",""coordinates"":[106.99620051471604,-6.008553336061758]}"
175,1,"{""type"":""Point"",""coordinates"":[106.99693007556807,-6.00970568348437]}"
176,1,"{""type"":""Point"",""coordinates"":[106.99813170520675,-6.010175157660758]}"
177,1,"{""type"":""Point"",""coordinates"":[106.99813170520675,-6.010815349066778]}"
178,1,"{""type"":""Point"",""coordinates"":[106.99542803851975,-6.011754295099825]}"
179,1,"{""type"":""Point"",""coordinates"":[106.9951705464543,-6.01213840891902]}"
180,1,"{""type"":""Point"",""coordinates"":[106.99491305438889,-6.013034673442449]}"
181,1,"{""type"":""Point"",""coordinates"":[106.99675841419112,-6.013120031891476]}"
182,1,"{""type"":""Point"",""coordinates"":[106.99748797504317,-6.012821277261296]}"
183,1,"{""type"":""Point"",""coordinates"":[106.9968442448796,-6.013333427955432]}"
184,1,"{""type"":""Point"",""coordinates"":[107.0022086629094,-6.014086950104067]}"
185,1,"{""type"":""Point"",""coordinates"":[107.0023374089421,-6.014556420499601]}"
186,1,"{""type"":""Point"",""coordinates"":[106.99504180042159,-6.01600750825052]}"
187,1,"{""type"":""Point"",""coordinates"":[106.99547095386397,-6.016476976987828]}"
188,1,"{""type"":""Point"",""coordinates"":[106.99585719196213,-6.016434298028473]}"
189,1,"{""type"":""Point"",""coordinates"":[106.9950418004216,-6.0171171609762375]}"
190,1,"{""type"":""Point"",""coordinates"":[107.0031098851384,-6.016647692791786]}"
191,1,"{""type"":""Point"",""coordinates"":[107.00362486926926,-6.016733050673668]}"
192,1,"{""type"":""Point"",""coordinates"":[106.99568553058516,-6.025738231878198]}"
193,1,"{""type"":""Point"",""coordinates"":[106.9957284459294,-6.027445358395594]}"
194,1,"{""type"":""Point"",""coordinates"":[106.99718756763352,-6.027103933521718]}"
195,1,"{""type"":""Point"",""coordinates"":[106.99967665759932,-6.025994301198128]}"
196,1,"{""type"":""Point"",""coordinates"":[106.99954791156662,-6.0241591350693815]}"
197,1,"{""type"":""Point"",""coordinates"":[106.99529929248702,-6.02219592722714]}"
198,1,"{""type"":""Point"",""coordinates"":[106.99551386920822,-6.02091557046313]}"
199,1,"{""type"":""Point"",""coordinates"":[106.99607176868331,-6.0204461055601834]}"
200,1,"{""type"":""Point"",""coordinates"":[106.99585719196212,-6.02129967780922]}"
201,1,"{""type"":""Point"",""coordinates"":[106.99821753589524,-6.0199339615670056]}"
202,1,"{""type"":""Point"",""coordinates"":[106.99778838245284,-6.0186109206836065]}"
203,1,"{""type"":""Point"",""coordinates"":[107.00409693805587,-6.021811820514833]}"
204,1,"{""type"":""Point"",""coordinates"":[107.00409693805587,-6.022537355187796]}"
205,1,"{""type"":""Point"",""coordinates"":[107.02096266834151,-6.026335726770096]}"
206,1,"{""type"":""Point"",""coordinates"":[107.02122016040695,-6.026719830281837]}"
207,1,"{""type"":""Point"",""coordinates"":[107.0222930440129,-6.025780910106575]}"
208,1,"{""type"":""Point"",""coordinates"":[107.02315135089766,-6.025567518931132]}"
209,1,"{""type"":""Point"",""coordinates"":[107.01885981647385,-6.026549117643514]}"
210,1,"{""type"":""Point"",""coordinates"":[107.019246054572,-6.027360002197266]}"
211,1,"{""type"":""Point"",""coordinates"":[107.01984686939132,-6.028298919640396]}"
212,1,"{""type"":""Point"",""coordinates"":[107.01671404926194,-6.027786783054641]}"
213,1,"{""type"":""Point"",""coordinates"":[107.01795859424485,-6.028597665758852]}"
214,1,"{""type"":""Point"",""coordinates"":[107.01873107044113,-6.030006038101307]}"
215,1,"{""type"":""Point"",""coordinates"":[107.0149974354924,-6.028298919640395]}"
216,1,"{""type"":""Point"",""coordinates"":[107.0158986577214,-6.0290244456426825]}"
217,1,"{""type"":""Point"",""coordinates"":[107.01667113391768,-6.029493903127113]}"
218,1,"{""type"":""Point"",""coordinates"":[107.0158986577214,-6.030006038101306]}"
219,1,"{""type"":""Point"",""coordinates"":[107.01572699634444,-6.030347461148794]}"
220,1,"{""type"":""Point"",""coordinates"":[107.0211772450627,-6.031883862202584]}"
221,1,"{""type"":""Point"",""coordinates"":[107.02104849902999,-6.032395994919831]}"
222,1,"{""type"":""Point"",""coordinates"":[106.97777941863035,-6.049818064262011]}"
223,1,"{""type"":""Point"",""coordinates"":[106.9787235562036,-6.051439762481126]}"
224,1,"{""type"":""Point"",""coordinates"":[106.98687747160886,-6.051098352734069]}"
225,1,"{""type"":""Point"",""coordinates"":[106.98610499541259,-6.052293285905214]}"
226,1,"{""type"":""Point"",""coordinates"":[106.98061183135007,-6.054683144320124]}"
227,1,"{""type"":""Point"",""coordinates"":[106.98267176787351,-6.054597792415914]}"
228,1,"{""type"":""Point"",""coordinates"":[106.99872210661863,-6.051610467273797]}"
229,1,"{""type"":""Point"",""coordinates"":[107.00061038176513,-6.051951876697351]}"
230,1,"{""type"":""Point"",""coordinates"":[106.99683383147214,-6.054597792415914]}"
231,1,"{""type"":""Point"",""coordinates"":[106.99537470976806,-6.055280607271936]}"
232,1,"{""type"":""Point"",""coordinates"":[107.0348981424644,-5.951648171093563]}"
233,1,"{""type"":""Point"",""coordinates"":[107.03530583823468,-5.951605487071984]}"
234,1,"{""type"":""Point"",""coordinates"":[107.03502688849711,-5.951904275153393]}"
235,1,"{""type"":""Point"",""coordinates"":[107.03530583823468,-5.951882933152961]}"
236,1,"{""type"":""Point"",""coordinates"":[107.03602467025065,-5.9514240799432985]}"
237,1,"{""type"":""Point"",""coordinates"":[107.0358530088737,-5.9516161580776785]}"
238,1,"{""type"":""Point"",""coordinates"":[107.03615341628338,-5.951488105995551]}"
239,1,"{""type"":""Point"",""coordinates"":[107.03328363496112,-5.995667724644513]}"
240,1,"{""type"":""Point"",""coordinates"":[107.03343383866594,-5.995987828964778]}"
241,1,"{""type"":""Point"",""coordinates"":[107.03139535981462,-5.994216582703624]}"
242,1,"{""type"":""Point"",""coordinates"":[107.03154556351946,-5.993640392921375]}"
243,1,"{""type"":""Point"",""coordinates"":[107.0328115661745,-5.997716389048118]}"
244,1,"{""type"":""Point"",""coordinates"":[107.03313343125629,-5.997951131352975]}"
245,1,"{""type"":""Point"",""coordinates"":[107.01575271683977,-5.998057832367225]}"
246,1,"{""type"":""Point"",""coordinates"":[107.01592437821674,-5.998612677304786]}"
247,1,"{""type"":""Point"",""coordinates"":[107.0161174972658,-5.998996800392357]}"
248,1,"{""type"":""Point"",""coordinates"":[107.01581708985614,-5.99959432465734]}"
249,1,"{""type"":""Point"",""coordinates"":[107.01268426972673,-5.9993595830599125]}"
250,1,"{""type"":""Point"",""coordinates"":[107.01315633851337,-5.999295562606709]}"
251,1,"{""type"":""Point"",""coordinates"":[107.0126413543825,-5.999722365486066]}"
252,1,"{""type"":""Point"",""coordinates"":[107.0133065422182,-5.99976504575562]}"
253,1,"{""type"":""Point"",""coordinates"":[107.02562324601458,-6.0087278282968555]}"
254,1,"{""type"":""Point"",""coordinates"":[107.02547304230976,-6.00913328401968]}"
255,1,"{""type"":""Point"",""coordinates"":[107.0250868042116,-6.009517399689017]}"
256,1,"{""type"":""Point"",""coordinates"":[107.01740495759296,-6.013934710397438]}"
257,1,"{""type"":""Point"",""coordinates"":[107.01753370362566,-6.014212124848727]}"
258,1,"{""type"":""Point"",""coordinates"":[106.98909424057025,-6.047677032434883]}"
259,1,"{""type"":""Point"",""coordinates"":[106.99029587020894,-6.048786620346557]}"
260,1,"{""type"":""Point"",""coordinates"":[106.99166916122456,-6.0492133843217]}"
261,1,"{""type"":""Point"",""coordinates"":[106.9944157432558,-6.050152263881216]}"
